ppg,art
25.704865,52.41263
25.704865,51.4252
25.704865,52.41263
25.704865,51.4252
25.704865,51.4252
25.704865,51.4252
26.099838,51.4252
26.099838,51.4252
25.704865,50.437714
26.099838,50.437714
26.099838,50.437714
25.704865,50.437714
26.099838,50.437714
26.099838,50.437714
26.099838,49.450287
26.099838,49.450287
26.099838,49.450287
26.099838,49.450287
26.494827,49.450287
26.099838,49.450287
26.494827,49.450287
26.494827,49.450287
26.889801,49.450287
26.889801,48.4628
26.889801,48.4628
26.889801,48.4628
26.494827,48.4628
26.889801,48.4628
26.889801,47.475372
26.889801,48.4628
26.889801,47.475372
