ppg,art
60.06836,100.798065
62.438263,101.78549
64.80817,102.77298
67.17807,101.78549
67.57303,101.78549
67.17807,101.78549
66.78308,100.798065
65.598114,101.78549
63.22824,100.798065
60.858337,99.81058
58.883423,99.81058
56.51352,98.82315
54.143616,97.83566
51.773727,96.848236
49.798813,96.848236
48.218872,96.848236
46.638947,95.86075
45.05902,94.87332
43.47908,93.88583
41.899155,92.89841
40.714203,92.89841
38.73929,91.91092
37.159363,91.91092
35.579437,91.91092
34.394485,91.91092
33.209534,94.87332
32.41957,97.83566
31.629608,101.78549
31.629608,106.72281
31.629608,112.64755
31.629608,117.58481
32.024582,123.50955
32.814545,128.44687
33.209534,134.37161
33.604523,140.2963
33.604523,144.24612
33.999496,146.22104
33.999496,147.20853
33.604523,145.23361
33.209534,143.2587
33.209534,141.28378
32.024582,137.33395
31.23462,136.34653
30.444656,136.34653
29.654694,137.33395
29.259705,138.32138
28.469742,139.30887
28.074753,139.30887
27.67978,139.30887
27.67978,138.32138
27.28479,137.33395
27.28479,135.35904
27.28479,132.3967
27.28479,129.4343
27.28479,125.48447
27.28479,121.53464
27.28479,118.572296
27.28479,115.60989
27.67978,112.64755
27.67978,112.64755
27.67978,111.660065
27.67978,112.64755
28.074753,113.63498
28.469742,113.63498
28.469742,114.62247
28.469742,113.63498
28.864716,111.660065
28.864716,108.69772
28.864716,105.73532
29.259705,104.747894
29.654694,103.76041
30.83963,104.747894
31.629608,106.72281
